Player,Position,Rank,Value
Christian McCaffrey,RB,RB1,76
Jonathan Taylor,RB,RB2,73
Austin Ekeler,RB,RB3,66
Derrick Henry,RB,RB4,66
Joe Mixon,RB,RB5,59
Dalvin Cook,RB,RB6,59
Najee Harris,RB,RB7,56
Alvin Kamara,RB,RB8,49
Javonte Williams,RB,RB9,48
D'Andre Swift,RB,RB10,44
Saquon Barkley,RB,RB11,42
Nick Chubb,RB,RB12,41
Aaron Jones,RB,RB13,37
Ezekiel Elliott,RB,RB14,34
Leonard Fournette,RB,RB15,31
Travis Etienne Jr.,RB,RB16,30
Breece Hall,RB,RB17,30
James Conner,RB,RB18,30
Cam Akers,RB,RB19,22
Josh Jacobs,RB,RB20,21
David Montgomery,RB,RB21,20
Clyde Edwards-Helaire,RB,RB22,16
Dameon Pierce,RB,RB23,15
Cordarrelle Patterson,RB,RB24,13
A.J. Dillon,RB,RB25,12
Elijah Mitchell,RB,RB26,11
Melvin Gordon III,RB,RB27,10
J.K. Dobbins,RB,RB28,9
Chase Edmonds,RB,RB29,9
Kareem Hunt,RB,RB30,7
Devin Singletary,RB,RB31,7
Rhamondre Stevenson,RB,RB32,6
Tony Pollard,RB,RB33,5
Elijah Moore,RB,RB34,5
James Cook,RB,RB35,4
Rashaad Penny,RB,RB36,4
J.D. McKissic,RB,RB37,3
Nyheim Hines,RB,RB38,3
Antonio Gibson,RB,RB39,3
Brian Robinson,RB,RB40,3
Miles Sanders,RB,RB41,2
Isaiah Pacheco,RB,RB42,2
Raheem Mostert,RB,RB43,2
Damien Harris,RB,RB44,2
Darnell Henderson Jr.,RB,RB45,2
Alexander Mattinson,RB,RB46,2
Mark Ingram II,RB,RB47,2
Jamaal Williams,RB,RB48,1
Zamir White,RB,RB49,1
Khalil Herbert,RB,RB50,1
Kenneth Gainwell,RB,RB51,1
Michael Carter,RB,RB52,1
Tyler Allgeir,RB,RB53,1
Kenneth Walker III,RB,RB54,1
James Robinson,RB,RB55,1
Isaiah Spiller,RB,RB56,1
Zack Moss,RB,RB57,1
Rachaad White,RB,RB58,1
Justin Jefferson,WR,WR1,72
Ja'Marr Chase,WR,WR2,70
Cooper Kupp,WR,WR3,68
Stefon Diggs,WR,WR4,50
CeeDee Lamb,WR,WR5,43
Davante Adams,WR,WR6,42
Deebo Samuel,WR,WR7,42
Tyreek Hill,WR,WR8,39
Mike Evans,WR,WR9,38
A.J. Brown,WR,WR10,35
Keenan Allen,WR,WR11,32
Michael Pittman Jr.,WR,WR12,31
Tee Higgins,WR,WR13,29
Diontae Johnson,WR,WR14,28
Jaylen Waddle,WR,WR15,21
Mike Williams,WR,WR16,20
DJ Moore,WR,WR17,20
Brandin Cooks,WR,WR18,20
Ju-Ju Smith Schuster,WR,WR19,18
Drake London,WR,WR20,18
Amon-Ra St. Brown,WR,WR21,16
Terry McLaurin,WR,WR22,14
Allen Robinson,WR,WR23,13
DK Metcalf,WR,WR24,10
Amari Cooper,WR,WR25,10
Courtland Sutton,WR,WR26,9
Adam Thielen,WR,WR27,8
Rashod Bateman,WR,WR28,7
Jerry Jeudy,WR,WR29,7
Marquise Brown,WR,WR30,6
Gabriel Davis,WR,WR31,6
Elijah Moore,WR,WR32,5
Christian Kirk,WR,WR33,5
Hunter Renfrow,WR,WR34,4
Darnell Mooney,WR,WR35,4
Romeo Doubs,WR,WR36,4
Kadarius Toney,WR,WR37,3
DeVonta Smith,WR,WR38,3
Brandon Aiyuk,WR,WR39,3
Allen Lazard,WR,WR40,3
DeAndre Hopkins,WR,WR41,3
Jalen Tolbert,WR,WR42,3
Tyler Lockett,WR,WR43,3
George Pickens,WR,WR44,3
Michael Thomas,WR,WR45,2
Robert Woods,WR,WR46,2
Skyy Moore,WR,WR47,2
Chris Godwin,WR,WR48,2
Chase Claypool,WR,WR49,2
DeVante Parker,WR,WR50,1
DJ Chark,WR,WR51,1
K.J. Osborn,WR,WR52,1
Chris Olave,WR,WR53,1
Jakobi Meyers,WR,WR54,1
Treylon Burks,WR,WR55,1
Michael Gallup,WR,WR56,1
Garrett Wilson,WR,WR57,1
Van Jefferson,WR,WR58,1
Tyler Boyd,WR,WR59,1
Rondale Moore,WR,WR60,1
Travis Kelce,TE,TE1,41
Kyle Pitts,TE,TE2,39
Mark Andrews,TE,TE3,36
Darren Waller,TE,TE4,27
George Kittle,TE,TE5,22
T.J. Hockenson,TE,TE6,12
Dalton Schultz,TE,TE7,7
Dallas Goedert,TE,TE8,3
Pat Freiermuth,TE,TE9,2
Zach Ertz,TE,TE10,2
Tyler Higbee,TE,TE11,2
Mike Gesicki,TE,TE12,1
Hayden Hurst,TE,TE13,1
Hunter Henry,TE,TE14,1
Austin Hooper,TE,TE15,1
Isaiah Likely,TE,TE16,1
Albert Okwuegbunam,TE,TE17,1
Dawson Knox,TE,TE18,1
Cole Kmet,TE,TE19,1
Isaiah Likely,TE,TE20,1
Josh Allen,QB,QB1,31
Lamar Jackson,QB,QB2,23
Patrick Mahomes,QB,QB3,22
Jalen Hurts,QB,QB4,19
Justin Herbert,QB,QB5,18
Joe Burrow,QB,QB6,11
Kyler Murray,QB,QB7,9
Russel Wilson,QB,QB8,6
Tom Brady,QB,QB9,6
Kirk Cousins,QB,QB10,2
Dak Prescott,QB,QB11,2
Trey Lance,QB,QB12,1
Tua Tagavailoa,QB,QB13,1
